Afaraf,aa,aar
Abkhazian,"аҧсуа бызшәа, аҧсшәа",ab
Avestan,avesta,ae
Afrikaans,Afrikaans,af
Akan,Akan,ak
Amharic,አማርኛ,am
Aragonese,aragonés,an
Arabic,العربية,ar
Assamese,অসমীয়া,as
Avaric,"авар мацӀ, магӀарул мацӀ",av
Aymara,aymar aru,ay
Azerbaijani,"azərbaycan dili, تۆرکجه",az
Bashkir,башҡорт теле,ba
Belarusian,беларуская мова,be
Bulgarian,български език,bg
Bislama,Bislama,bi
Bambara,bamanankan,bm
Bengali,বাংলা,bn
Tibetan,བོད་ཡིག,bo
Breton,brezhoneg,br
Bosnian,bosanski jezik,bs
"Catalan, Valencian","català, valencià",ca
Chechen,нохчийн мотт,ce
Chamorro,Chamoru,ch
Corsican,"corsu, lingua corsa",co
Cree,ᓀᐦᐃᔭᐍᐏᐣ,cr
Czech,"čeština, český jazyk",cs
"Church Slavic, Old Slavonic, Church Slavonic, Old Bulgarian, Old Church Slavonic",ѩзыкъ словѣньскъ,cu
Chuvash,чӑваш чӗлхи,cv
Welsh,Cymraeg,cy
Danish,dansk,da
German,Deutsch,de
"Divehi, Dhivehi, Maldivian",ދިވެހި,dv
Dzongkha,རྫོང་ཁ,dz
Ewe,Eʋegbe,ee
"Greek",Ελληνικά,el
English,English,en
Esperanto,Esperanto,eo
"Spanish, Castilian",Español,es
Estonian,"eesti, eesti keel",et
Basque,"euskara, euskera",eu
Persian,فارسی,fa
Fulah,"Fulfulde, Pulaar, Pular",ff
Finnish,"suomi, suomen kieli",fi
Fijian,vosa Vakaviti,fj
Faroese,føroyskt,fo
French,français,fr
Western Frisian,Frysk,fy
Irish,Gaeilge,ga
"Gaelic, Scottish Gaelic",Gàidhlig,gd
Galician,Galego,gl
Guarani,Avañe'ẽ,gn
Gujarati,ગુજરાતી,gu
Manx,"Gaelg, Gailck",gv
Hausa,(Hausa) هَوُسَ,ha
Hebrew,עברית,he
Hindi,"हिन्दी, हिंदी",hi
Hiri Motu,Hiri Motu,ho
Croatian,hrvatski jezik,hr
"Haitian, Haitian Creole",Kreyòl ayisyen,ht
Hungarian,magyar,hu
Armenian,Հայերեն,hy
Herero,Otjiherero,hz
Interlingua,Interlingua,ia
Indonesian,Bahasa Indonesia,id
"Interlingue","Interlingue",ie
Igbo,Asụsụ Igbo,ig
"Sichuan Yi, Nuosu",ꆈꌠ꒿ Nuosuhxop,ii
Inupiaq,"Iñupiaq, Iñupiatun",ik
Ido,Ido,io
Icelandic,Íslenska,is
Italian,Italiano,it
Inuktitut,ᐃᓄᒃᑎᑐᑦ,iu
Japanese,日本語,ja
Javanese,"ꦧꦱꦗꦮ, Basa Jawa",jv
Georgian,ქართული,ka
Kongo,Kikongo,kg
"Kikuyu, Gikuyu",Gĩkũyũ,ki
"Kuanyama, Kwanyama",Kuanyama,kj
Kazakh,қазақ тілі,kk
"Kalaallisut, Greenlandic","kalaallisut, kalaallit oqaasii",kl
Central Khmer,"ខ្មែរ, ខេមរភាសា, ភាសាខ្មែរ",km
Kannada,ಕನ್ನಡ,kn
Korean,한국어,ko
Kanuri,Kanuri,kr
Kashmiri,"कॉशुर, کٲشُر",ks
Kurdish,"Kurdî, کوردی",ku
Komi,коми кыв,kv
Cornish,Kernewek,kw
"Kirghiz, Kyrgyz","Кыргызча, Кыргыз тили",ky
Latin,"latine, lingua latina",la
"Luxembourgish, Letzeburgesch",Lëtzebuergesch,lb
Ganda,Luganda,lg
